row_id,split,transcript_id,text_clean,subcluster_id,ax3_subcluster_name,ax3_subcluster_status
work_0125::13,workforce,work_0125,"I see it becoming more integrated with my life. I've also been a curious person and thrive when I'm learning new things. AI is a wealth of knowledge at my hands and why wouldn't I use it. Specifically related to work, I see using it to expand my skillset into areas of interest that I wouldn't be able to reach if I didn't have AI to guide me there.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0133::10,workforce,work_0133,"I am personally a very motivated individual, and I feel I would definitely resist the temptation to let my skills dissipate as AI is used more. If an AI tool can take over perhaps the more menial aspsects of the job allowing me to focus on more advanced areas, then that works for me. But I definitely don't like the idea of losing out on areas to develop and learn because an AI tool is already responsible for that particular job.",2,Reconfiguration stratégique des compétences,core
work_0139::8,workforce,work_0139,"Not really, in my role I feel that if AI could take over some of my tasks, that would just mean there would be more I could do in other areas.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0140::10,workforce,work_0140,"I expect my relationship with AI at work to continue to grow. As I learn more about what it is capable of doing, I look forward to it making my job easier. I view AI as tool to make me more efficient. The more quickly I can produce quality work with the help of AI, the more I can focus on contributing in other ways and gaining more experience on the job.",1,Équilibre normatif dans l'usage de l'IA,core
work_0140::9,workforce,work_0140,I am constantly improving my skills or learning new ones. I feel this is important in order to work collaboratively with AI. The output provided by AI still needs to be reviewed for accuracy and efficacy. So it is necessary for me to remain knowledgeable. That way I can create the right types of prompts and check the information provided by AI.,4,Protection contre la dépendance et l'érosion des capacités,core
work_0141::12,workforce,work_0141,"I consider AI a useful tool, and I can't troubleshoot without tools",4,Protection contre la dépendance et l'érosion des capacités,core
work_0143::13,workforce,work_0143,"potentially, I'm not really sure. I hope that AI can do the more borign stuff so that I can do more of what I love. I think poeople get gneuine fulfillment out of their jobs, and I don't want to be in a workplace wher emost of the work is produced by robots, I think I'd find that pretty depressing.",3,Jugement humain et responsabilité professionnelle,core
work_0145::8,workforce,work_0145,"As a fairly creative minded person, I personally don't worry about losing my skills because of AI as I still enjoy it and I work with the AI to create social media captions which keeps my skills involved as well as using AI.",2,Reconfiguration stratégique des compétences,core
work_0146::12,workforce,work_0146,"No, its not because I know AI is constantly evolving and I evolve with it. If AI can do something better than me, that's great. There are plenty of skills AI isn't great with that I can learn.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0152::9,workforce,work_0152,"I do not see myself expanding my use of AI at this point. I think the most I will get out of it in my career is simply the streamlining of tasks I already do without it, as I mentioned before.",2,Reconfiguration stratégique des compétences,core
work_0161::9,workforce,work_0161,"I'm very aware that my line of work could be replaced by AI entirely, but I've also spent a lot of time fixing things which were AI generated and did not work correctly. I believe maintaining my skills are important and will remain relevant at least in the short to medium term as AI still is not perfect and continues to need manual intervention",2,Reconfiguration stratégique des compétences,core
work_0162::7,workforce,work_0162,"I don't really have this concern or consider this too much. AI can help with my job, but likely would not be able to take over my job. I keep my skills and knowledge up to date, but I never really worry about AI interfering down the road.",3,Jugement humain et responsabilité professionnelle,core
work_0169::10,workforce,work_0169,It is and is major reason I am embracing using AI to make me focus on the important stuff.,4,Protection contre la dépendance et l'érosion des capacités,core
work_0188::10,workforce,work_0188,"It's always important to maintain your skillset, if your favorite AI model breaks or you have no internet, you need to rely on yourself",2,Reconfiguration stratégique des compétences,core
work_0189::10,workforce,work_0189,"I don't really think about maintaining my skills where AI agents could potentially automate that work. It will happen eventually, and I maintain my skills through the work that I do on a day to day basis.",2,Reconfiguration stratégique des compétences,core
work_0192::9,workforce,work_0192,"AI is very good at dealing with things already there, but not so good at coming up with new ones. So, as I learn more ways to use AI to free up my own time and energy, I can develop new ideas and processes that make our overall business run better. Getting bogged down in some tasks takes away time that could go into improving everything.",2,Reconfiguration stratégique des compétences,core
work_0193::9,workforce,work_0193,"I think maximising my ability in using AI to do these tasks is key as while AI is going to take over these jobs becoming an expert in AI usage where and how it can be used is rather key and in the medium term I imagine would have key career benefits. Once it fully takes over it will be a much tougher situation, so being able to adapt and find a niche working within the AI is key.",2,Reconfiguration stratégique des compétences,core
work_0196::8,workforce,work_0196,AI taking over is a myth. I'd be more concern about people lagging behind and stopping using their brains and creative power.,3,Jugement humain et responsabilité professionnelle,core
work_0210::8,workforce,work_0210,"Not really, if I am being honest. I like using AI, and it does help make things easier at times, to give me more time to myself, or for other ventures.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0230::9,workforce,work_0230,"I'd just envision me using it more and more, ever forming a closer 'relationship'. The more time I can save here and there with AI efficiencies, the more time I will have during the working week to look at strategic goals and the bigger picture, and involve my AI colleague with this to help me continue to improve and take my department forward.",1,Équilibre normatif dans l'usage de l'IA,core
work_0231::10,workforce,work_0231,"I feel like the best thing I can do in maintaining my skills is learning how to utilize Ai efficiently. I don't think that Ai will ever fully replace my job because I have to think about the human aspect of it. I have to speak and try to influence others to agree with my stance, which Ai can't do.",2,Reconfiguration stratégique des compétences,core
work_0254::10,workforce,work_0254,Sometimes I think about losing skills because AI is doing it for me. But I do a lot of writing on my own as well so I feel that helps keep my skills,2,Reconfiguration stratégique des compétences,core
work_0256::14,workforce,work_0256,"i am not worried about AI taking over, i feel like i keep improving my skills anyway and i have the capability to work alongside of AI, i see AI as a great helping tool which is bound to make a lot of things easier but i do strongly believe that it is important to have people alongised that are capable to understand and use it correctly, you know we all get things wrong sometimes even AI",3,Jugement humain et responsabilité professionnelle,core
work_0256::15,workforce,work_0256,i do think my relationship with AI at work is evolving as AI progresses and new functions are brought out i can use it for new different things,1,Équilibre normatif dans l'usage de l'IA,core
work_0261::9,workforce,work_0261,"I want to maintain my relationship with AI in the same way I do now- using it as a tool to assist me, helping me balance the mental load of tasks that could be done in a more efficient manner, while also maintaining a critical awareness of its overuse. I think balance is the key to everything, and using AI should be no different. I will definitely keep using it as I have been!",1,Équilibre normatif dans l'usage de l'IA,core
work_0266::8,workforce,work_0266,"No, I haven't considered AI being able to take over what I do. I see it has enhancing productivity, but I do not think it can fully take over as there is also a personal aspect and customer/client relationship we maintain. I have many responsibilities/duties in my job. Besides troubleshooting, I do continuing education and advanced training with our clients. Modern and larger labs are often quite automated now with a track system, but troubleshooting issues and hardware issues will require us to be at a client site in person.",3,Jugement humain et responsabilité professionnelle,core
work_0267::11,workforce,work_0267,"It is not something I actively consider. A lot of my job is reacting to situations on the fly and planning and big picture ""stuff."" I have a hard time imagining AI taking over a lot of what I do. Now, were I to become confident enough in AI to let it do research and such for me, maintaining skills would have to be an active and proactive process, as it is a perishable skill.",2,Reconfiguration stratégique des compétences,core
work_0269::7,workforce,work_0269,"I sometimes feel like AI has already taken over in areas of my job and it feels pointless to maintain these skills and like I should just invest in learning new skills. For example, coming up with names for products is a job I used to get a lot, but never get anymore since this is something AI excels in. I think it's more worth investing in skills that AI isn't that good at, like handling complex instructions and coming up with unique ideas.",2,Reconfiguration stratégique des compétences,core
work_0270::7,workforce,work_0270,"I do not believe AI will ever be able to take over my work. There is too much human touch that is required for that to be possible. However, in certain aspects, I believe AI could be a helpful aide to people in my profession.",3,Jugement humain et responsabilité professionnelle,core
work_0289::10,workforce,work_0289,"Honestly, the capabilities of AI and the speed at which they were progressing was starting to become a bit scary. It made me feel very replaceable, which in turn pushed me to work harder so that I could highlight my work to the higher ups in the company. However, over the past couple of months the breakthroughs appear to have slowed down, so I feel a bit more secure in my job now. The tasks I do are still not fully automate-able, so as of now it seems that my relationship with AI will remain the same - using it as a collaborative tool to complete my tasks.",1,Équilibre normatif dans l'usage de l'IA,core
work_0310::10,workforce,work_0310,"As a young student I've adapted to use AI to learn subjects and grow with it, so I don't really worry about it taking over my skillset, but more so how I can develop with it and become more efficient.",2,Reconfiguration stratégique des compétences,core
work_0310::11,workforce,work_0310,I see my relationship evolving as I learn how to integrate it more and more throughout my business where it can do equally as well as I would or outperform my skillset in a certain task. My goal is to essentially have the best output with minimal effort.,1,Équilibre normatif dans l'usage de l'IA,core
work_0311::13,workforce,work_0311,"I don't actively consider AI taking over in any areas in my field. It does not seem to be in the near future, at least to me",3,Jugement humain et responsabilité professionnelle,core
work_0316::8,workforce,work_0316,"I personally find AI helps me learn quickly. Instead of searching stack overflow for ages trying to figure stuff out, I can ask AI and get the answer plus an explanation. I find this really helps to quickly learn new things (especially in my work with pandas). I personally think that anything AI is really good at and can complete well I shouldn't concern myself with maintaining skills in. I think my skill as a code reviewer and knowledge of high-level coding practices is most important with the improvement of AI in development. I want to use it to automate the simpler tasks as much as possible while I fill in the more complex parts and fit everything together",2,Reconfiguration stratégique des compétences,core
work_0325::8,workforce,work_0325,"I do think about this and I do try to challenge myself to not hand over every task I can to AI. I want to be able to write original content quickly without the use of AI, if needed. That said, it's probably clear from my responses that I think AI needs to be managed and used critically in order to optimize it's results. Due to that, I still think AI will need ""me"" as a ""manager"" for tasks going forward.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0327::9,workforce,work_0327,"I haven't given much thought to it, but in general I don't want to completely rely on AI for all my writing and communication needs. As I am always trying to improve my own skills. However at times using AI can help me with ideas on how to phrase things, or organize emails for the future so I may not always have to ask for help with certain things.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0341::10,workforce,work_0341,"I am genuinely not concerned about AI taking over my work! So much of my work is people-facing, and the parts that aren't simply require a level of real-world judgment I trust the executive board to know better than to hand over to algorithms.",3,Jugement humain et responsabilité professionnelle,core
work_0343::9,workforce,work_0343,"I always keep on top of all my skills. Although AI might take over, it doesn't always do things correctly so I need to be able to understand how to fix the AI code when it isnt correct.",2,Reconfiguration stratégique des compétences,core
work_0348::9,workforce,work_0348,"I'm not too worried about it. AI is an incredible tool, but working with it has made me very aware of its limitations. I don't think it will take over any role I'm in completely, provided I'm willing to stay flexible and learn new things.",3,Jugement humain et responsabilité professionnelle,core
work_0350::9,workforce,work_0350,"I have known some who despair and look at their skills as being made less valuable due to AI, but I prefer to instead see it as an opportunity to enhance those skills I already have and treat it as a sort of challenge. If an AI can do something, then I believe should see that as a starting point and try to be able to do more. I do however acknowledge that AI models will probably always be faster than I can be and sometimes ""good enough"" is sufficient in work contexts so getting better can seem to lack a benefit. The existence and popularity of AI is therefore a motivation to broaden my skills.",2,Reconfiguration stratégique des compétences,core
work_0352::8,workforce,work_0352,"It's something I've considered, but a lot of my business is networking and talking with other people. So the only part I feel like that could be taken over with AI is the routine maintenance and admin work which as a freelancer actually protects my business more than anything because it gives me more time to do the actual business work of networking and working with clients instead of sitting in front of a computer all day.",3,Jugement humain et responsabilité professionnelle,core
work_0375::9,workforce,work_0375,I'm always trying to maintain my skills in all areas because I don't think we are quite at the point of AI adoption in business yet and I often think about moving on from my current job so feel I need to keep my skills fresh.,2,Reconfiguration stratégique des compétences,core
work_0376::7,workforce,work_0376,"For now, this is not really a major concern for me. In my role, we are at the forefront of research, meaning we need to be creative, maintain good people-skills, and be able to critically think. I used AI primarily as an aide and as a double-checker, not to replace what I already do. Since using AI, I have not stopped doing anything I used to do. I use AI as a supplement to make my work better and further our research as opposed to do my work for me. Thus, I have not really needed to do anything different with the use of AI. I have been able to increase my overall work efficiency without sacrificing any human aspects.",2,Reconfiguration stratégique des compétences,core
work_0378::8,workforce,work_0378,"I think AI could be helpful in furthering my learning, but I use caution in saying this, because AI is only as good as the program used. I am still somewhat skeptical as to AI potentially taking over because it is still 'just a program' even though it sometimes seems that AI is sentient. I don't really think about this aspect that often, as I use it mostly for entertainment and simple requests that I could likely find elsewhere on the internet if I really wanted to. It is an enhancer for me and my clients.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0384::8,workforce,work_0384,it seems clear to me that the use of ai is itself a skill and the degree to which it will take over is likely to be gradual. from my experience using available tools i'm pretty confident no serious knowledge-based work is at serious risk anytime soon,4,Protection contre la dépendance et l'érosion des capacités,core
work_0390::9,workforce,work_0390,"It is absolutely something I consider. That's part of the reason why I don't use AI for work tasks that I really enjoy; I want to maintain my skills in those areas. I have also read some studies that indicate a heavy reliance on AI can negatively impact a person's ability to analyze and create, which I want to avoid. I consider AI to be a very useful tool, but not a replacement for my own brain - it should be a cooperative venture.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0395::10,workforce,work_0395,"I think AI is here to stay, so I don't want to get left behind in the AI tech sphere. If I gain experience using AI, particularly pertaining to my field of study, I am in a sense potentially future-proofing myself. I now realize this is perhaps even more paradoxical to what I just stated about potentially making my job less relevant, but at the same time it would be hopefully an adaptation to overcome that exact problem.",2,Reconfiguration stratégique des compétences,core
work_0399::9,workforce,work_0399,"I love the idea that AI can take over specific skills and functions of our roles - this gives more time to higher level strategy, leadership and planning. The more we can automate routine aspects, the better. I feel personally when using AI to augment your role, the focus needs to be on upskilling where possible. For example, if I'm using AI to generate code, then I'm also going to be using it to train me on that code for future maintenance, or recognising where the AI is losing focus.",2,Reconfiguration stratégique des compétences,core
work_0401::10,workforce,work_0401,"I'm not worried about it. My skills are about working with people, solving problems for people, and building events. I think AI will come and ruin the quality of a lot of things - loose personal creativity and make events and videos all feel generic, and people who are awful will work with it and make your life awful, but that happens anyways. My job will be about solving the problems that arise within it.",3,Jugement humain et responsabilité professionnelle,core
work_0406::7,workforce,work_0406,"Considering I do a lot of programming work and AI is becoming very big in that space and taking over a lot of programming tasks, I'm even more concerned with maintaining and expanding my programming skills. I have an understanding that AI isn't flawless, and also needs skilled programmers to guide and train it. I see it as a tool to augment things, no replace me.",2,Reconfiguration stratégique des compétences,core
work_0408::8,workforce,work_0408,"I do consider it, and I think with AI taking over mundane tasks It will force me to really focus on the things that AI may not be able to take over. Things like customer service where you can relate to someone and connect over experiences or similar circumstances. Creating in person events or experiences. Following up in a meaningful way. I also think that taking content generated by AI and then changing some of the language or speech patterns to sound more like myself, or less generic is where my skills will shine in a world where some people are just using outputs straight from AI.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0412::8,workforce,work_0412,"As new AI tools keep coming out and keep getting better, I only see my relationship with AI becoming more. It's already quite a key part of my workplace's workflows and procedures. So, as it deepens/improves, my relationship with it at work will deepen/improve.",1,Équilibre normatif dans l'usage de l'IA,core
work_0419::9,workforce,work_0419,"I'm not bothered by it. I know that there are core aspects of my job that AI could never replace and I'm willing to upskill to keep up with the times. The way I see it, AI is here to stay and I can either be fearful and fall behind, becoming an AI casualty, or I can make myself valuable in an AI world and ride the wave.",3,Jugement humain et responsabilité professionnelle,core
work_0420::9,workforce,work_0420,"I don't think AI could fully take over my role, yet, while its come on in a long way, due to the nature of the work we receive, and that some items require a degree of mitigation when it comes to decision making, I'm not concerned about AI taking over. I do keep my skills up to date, I often read social media such as dedicated Reddit subs on the use of AI in the work place, to find how others do it to see if I can make my work any more effective. I feel my position is secure as I'm trying to stay on top of how AI is used in the workplace",3,Jugement humain et responsabilité professionnelle,core
work_0428::10,workforce,work_0428,"I don't really worry about the AI taking over thing because I believe what I do is specialized. I'm a TA and also a master's student so my job is teaching and research and deep understanding of concepts. I recognize the field of AI is very helpful for some administrative things and the concept of machine learning has a ton of great applications, but I think AI is less of a ""threat"" than the general public believes.",3,Jugement humain et responsabilité professionnelle,core
work_0440::8,workforce,work_0440,"Like I said, I haven't found how AI fits into my work life right now, but I'm open to the idea of letting it take over tasks that would leave me more time to work on other things.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0443::11,workforce,work_0443,"I still end up using AI for research tasks, but I have to take it with a large grain of salt, and it is just becomes another tool for me to cross-examine rather than the definitive research solution it has been hyped up to be",4,Protection contre la dépendance et l'érosion des capacités,core
work_0444::15,workforce,work_0444,"Not really! As my role is incredibly broad, I don't think there will be a time where AI would take over my role. At the end of the day, someone still needs to monitor and control AI - I want to make sure I am that person.",3,Jugement humain et responsabilité professionnelle,core
work_0453::9,workforce,work_0453,"My job is mostly physical so AI is more of a helpful tool for me than something that can potentially take over. I have considered this for other positions at my work, but my personal work is pretty much unaffected.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0455::11,workforce,work_0455,I try to maintain all my skills even AI skills. I love to learn more about AI and how I can work with it not against it so it doesnt take over. I think people are more valuable and AI will always need people to interact or train so there's something useful about knowing it cant survive without us.,2,Reconfiguration stratégique des compétences,core
work_0456::15,workforce,work_0456,"Well, we decided to become experts at how AI can be used in our field. We are always testing new implementation ideas. We also focus on areas that AI isn't good at yet, like creating training videos, for example.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0467::8,workforce,work_0467,I think about it this way: AI won't take my job. But someone who knows how to use AI will,3,Jugement humain et responsabilité professionnelle,core
work_0470::9,workforce,work_0470,"I feel like I have found a comfortable balance in my relationship with AI, and see no practical way to let it do more than it already does without ceding that portion of my responsibilities to it entirely.",1,Équilibre normatif dans l'usage de l'IA,core
work_0474::9,workforce,work_0474,"Not really, as of right now I'm not too worried about the AI taking over so I haven't gave much thought. However, I am continuously trying to improve my programming skills and I'd like to think AI as a tool that could assist me to create things more at ease.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0480::9,workforce,work_0480,"I think we always need to know the correct ways to do things, even if AI starts to do most of the work. So I would say maintaining some skills would be important. How will we know if the AI went wrong if we don't know ourselves what is right? It's kind of like how I know to use a regular compass and map to get places, even though we now use GPS/GNSS for travelling places. That backup and understanding is helpful if the systems go down or is in error.",2,Reconfiguration stratégique des compétences,core
work_0486::10,workforce,work_0486,"Personally I am very keen to maintain skills in all areas, even if it's something that an AI could potentially take over. This is something I actively consider, and I am keen to keep up my knowledge just for the security of knowing that I achieved something, and I can explain how I achieved any result I get.",2,Reconfiguration stratégique des compétences,core
work_0493::9,workforce,work_0493,"I am not worried about AI taking over. I welcome the time when it is actually good enough to be more heavily relied upon, because then I can focus my attention on higher level things.",3,Jugement humain et responsabilité professionnelle,core
work_0503::8,workforce,work_0503,"I believe AI will indeed take over some roles and areas, and I believe the way to stay ahead of the curve is to work in the AI space, since I don't foresee AI working on itself becoming a reality any time soon.",3,Jugement humain et responsabilité professionnelle,core
work_0509::8,workforce,work_0509,I don't think AI will ever take over my job because it is so software focused and having to understand past client decisions.,3,Jugement humain et responsabilité professionnelle,core
work_0512::8,workforce,work_0512,"I don't think of AI as a threat but as a useful tool to assist us and help us. My work at a restaurant requires manual labor, and to automate that manual part would be extremely expensive because I would need robots. The administrative side of the operation can be handled using AI, and it makes my life easier. Instead of sitting down and dealing with emails all day, now it takes me a few minutes to get the emails summarized and respond using AI. I don't see AI taking over in my field of work anytime soon.",3,Jugement humain et responsabilité professionnelle,core
work_0521::10,workforce,work_0521,"It is, and it's something that certainly crosses my mind. Since I use AI so often in my day-to-day work routine, it makes me feel somewhat replaceable. I've found myself focusing more on my hands-on activities, partly because I've got AI to lessen the burden of my clerical workload, but because I know that my interpersonal skills are something that make me unique.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0535::11,workforce,work_0535,"Sure, I guess it's somewhat of a concern. But I see AI more as a tool to enhance my work than competition.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0553::9,workforce,work_0553,"I envision the relationship with AI to be evolving at a fast pace. I am anxious to learn as much as I can to help make my workplace as efficient as possible, so that I can focus more on developing relationships with my teammates.",1,Équilibre normatif dans l'usage de l'IA,core
work_0556::9,workforce,work_0556,It's not really something I consider. I believe it will be a long way off for AI to take over in my particular industry. There are aspects of my industry that AI just can't do (think water!),3,Jugement humain et responsabilité professionnelle,core
work_0559::11,workforce,work_0559,"I think that as long as I'm in the same position, working for the same person, that I am now, my relationship with AI at work won't change much. If and when I have to work for a different person, my role and responsibilities will change, and at that point I may find a need for integrating more AI into my job.",1,Équilibre normatif dans l'usage de l'IA,core
work_0564::11,workforce,work_0564,"Yes. I am glad that I get experience implementing AI in game development, as I assume that it will increasingly become a requirement. The fact that I use AI extensively across a variety of disciplines feels like an advantage for a world that is being redesigned to accommodate AI tools more and more.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0566::9,workforce,work_0566,"So far, because of AI, I have a better job with much better money, so, I see AI as a partner",1,Équilibre normatif dans l'usage de l'IA,core
work_0568::11,workforce,work_0568,"I have not specifically thought about using AI to maintain skills as we go through regular training at my job, however I do see where this could be beneficial.",2,Reconfiguration stratégique des compétences,core
work_0570::9,workforce,work_0570,"I have considered it, but I don't think AI is really going to take over any substantial portion of my job in the foreseeable future. For instance, the majority of my job is understanding business requirements and understand where to implement those requirements across the 20+ code bases our team has. This is not something AI is able to do in any substantial way. The smallest part of my job, getting the exact code into place, is something the AI is helping with, but again it can't do that by itself because it doesn't fully understand the complete context of the codebase.",3,Jugement humain et responsabilité professionnelle,core
work_0603::10,workforce,work_0603,"I don't consult AI for recent internet resources, or anything super niche like very specific scientific information.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0607::11,workforce,work_0607,"I'm think about improving my skills and ""attack"" the AI. What I mean is that I'm improving my skills on the AI side, how the AI works, how can i use it and so on, so if the AI is going to do my actual tasks I'm going to learn how to use the AI in ways that few people know",2,Reconfiguration stratégique des compétences,core
work_0622::10,workforce,work_0622,"I only hope that my relationship with AI technologies in my work matures and grows. I enjoy seeing AI capability and technology advance and hope to continue finding ways to leverage it throughout my tasks, both routine and new.",1,Équilibre normatif dans l'usage de l'IA,core
work_0622::9,workforce,work_0622,"I only see AI as a tool to improve my skills, not one to replace my skills. So I often don't think of how to maintain my skills because I put my actions and growth in new challenges over leveraging AI as a tool when performing.",2,Reconfiguration stratégique des compétences,core
work_0628::13,workforce,work_0628,"For those skills, I actively think how I can tie in my skills with the AI so I can work together, as I know AI will potentially take over and do it better",2,Reconfiguration stratégique des compétences,core
work_0637::12,workforce,work_0637,I always maintain my skills. I don't live my life based on what AI may or may not do.,2,Reconfiguration stratégique des compétences,core
work_0647::12,workforce,work_0647,"Yes. So I'm learning more about using AI and programming AI stuff. I'm also looking at learning more languages to be more versatile, and using AI to help with that.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0652::10,workforce,work_0652,I understand some tasks may not be done as efficiently by humans than AI. In these areas I find a way to utilize AI to increase my throughput rather than try to beat it. I believe that finding more innovative ways to use AI across my work day will supplement my skills rather than replace them,2,Reconfiguration stratégique des compétences,core
work_0662::15,workforce,work_0662,"I make deliberate choices to maintain my software development skills through practice, even if I write less code and use AI as an assistant to speed up my work.",2,Reconfiguration stratégique des compétences,core
work_0677::8,workforce,work_0677,"Sometimes I consider that possibility, but that seems far away from where things currently stand. Currently, AI is more of a tool in the toolbox than something I fear will take over my job.",3,Jugement humain et responsabilité professionnelle,core
work_0678::8,workforce,work_0678,I feel like it will get better but I have to have good boundaries in place like any relationship. I don't want to become so dependent on AI that I can't live without or do what I'm called to do. So I'd like to make sure I learn to steward it well whilst developing my skills in how to use it. But I do see myself using it more and my skillset evolving.,1,Équilibre normatif dans l'usage de l'IA,core
work_0680::8,workforce,work_0680,"AI can never replace the human interaction required by my role. Part of my role entails visiting service users in person, to conduct both care plan reviews and spot checks of staff performance and compliance. Whilst AI may eventually take over a lot of my admin tasks, e.g. staff appraisals, I'm not at all concerned about my role as a whole, as it simply cannot be adopted by AI.",3,Jugement humain et responsabilité professionnelle,core
work_0681::11,workforce,work_0681,"Yes. I actively train on new things being changed in our software, and making sure I can operate without any AI help if needed.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0690::9,workforce,work_0690,"Yes, I see myself become more reliant on AI to complete more of the mundane tasks or quickly finish projects. I see this happening because of the increased productivity demands that are not feasible without utilizing AI. It is already evident that expectations have increased for individuals in the work place. To maintain any sort of work life balance, AI will become essential.",2,Reconfiguration stratégique des compétences,core
work_0713::12,workforce,work_0713,"I consider this a lot, and I have been exposed to plenty of doom saying media about AI lately. My job is mostly on a computer save my visits to job sites, so I understand this technology can and is intended to automate all of that work. My company is extremely slow to adopt technologies, I mean I'm the only one who even knows it exists at the moment. I imagine if AI ever ""took over"" my work, I would be effected by my company going bust because our competitors have become unbeatable using new AI tricks rather than my boss catching up on AI and replacing me with it. My main concerns with the development of AI are how it effects the world that I work in, not so much my job itself.",3,Jugement humain et responsabilité professionnelle,core
